fold,epoch,train_loss,train_accuracy_at_0_76,train_auc,train_processed_batches,train_skipped_batches,val_loss,val_accuracy_at_0_76,val_auc,val_processed_batches,val_skipped_batches,tuned_threshold,tuned_accuracy,tuned_sensitivity,tuned_specificity,tuned_f1,tuned_youden_j
5,1,0.4342108588469656,0.3157894736842105,0.6937321937321937,57,0,0.4017323681286403,0.2857142857142857,1.0,7,0,0.57,1.0,1.0,1.0,1.0,1.0
5,2,0.4293188991253836,0.3157894736842105,0.7507122507122507,57,0,0.3972917880330767,0.2857142857142857,1.0,7,0,0.58,1.0,1.0,1.0,1.0,1.0
5,3,0.4251677639651717,0.3157894736842105,0.7991452991452992,57,0,0.3940208000796182,0.2857142857142857,1.0,7,0,0.59,1.0,1.0,1.0,1.0,1.0
5,4,0.4218831164272208,0.3157894736842105,0.8262108262108262,57,0,0.38942343848092215,0.2857142857142857,1.0,7,0,0.6,1.0,1.0,1.0,1.0,1.0
5,5,0.41751777550630403,0.3157894736842105,0.8803418803418803,57,0,0.38832063334328787,0.2857142857142857,1.0,7,0,0.61,1.0,1.0,1.0,1.0,1.0
5,6,0.4179226366574304,0.3157894736842105,0.8846153846153846,57,0,0.3841542218412672,0.2857142857142857,1.0,7,0,0.61,1.0,1.0,1.0,1.0,1.0
5,7,0.4137270100284041,0.3157894736842105,0.8903133903133903,57,0,0.3846442550420761,0.2857142857142857,1.0,7,0,0.62,1.0,1.0,1.0,1.0,1.0
5,8,0.413034401964723,0.3157894736842105,0.8917378917378918,57,0,0.3845796968255724,0.2857142857142857,1.0,7,0,0.63,1.0,1.0,1.0,1.0,1.0
5,9,0.4120558348664066,0.3157894736842105,0.8931623931623932,57,0,0.38263520172664095,0.2857142857142857,1.0,7,0,0.64,1.0,1.0,1.0,1.0,1.0
5,10,0.4101193502806781,0.3157894736842105,0.9017094017094017,57,0,0.380211740732193,0.2857142857142857,1.0,7,0,0.64,1.0,1.0,1.0,1.0,1.0
5,11,0.4097750189534405,0.3157894736842105,0.9145299145299145,57,0,0.3816524062837873,0.2857142857142857,1.0,7,0,0.66,1.0,1.0,1.0,1.0,1.0
5,12,0.4087958050924435,0.3157894736842105,0.9116809116809117,57,0,0.3793698868581227,0.2857142857142857,1.0,7,0,0.66,1.0,1.0,1.0,1.0,1.0
5,13,0.40718928999022436,0.3508771929824561,0.905982905982906,57,0,0.37935674829142435,0.2857142857142857,1.0,7,0,0.67,1.0,1.0,1.0,1.0,1.0
5,14,0.405112928465793,0.43859649122807015,0.9131054131054132,57,0,0.38010843311037334,0.42857142857142855,1.0,7,0,0.68,1.0,1.0,1.0,1.0,1.0
5,15,0.40653894828599796,0.49122807017543857,0.915954415954416,57,0,0.3779632842966488,0.5714285714285714,1.0,7,0,0.68,1.0,1.0,1.0,1.0,1.0
5,16,0.4050938093609977,0.5087719298245614,0.9173789173789174,57,0,0.3773185813001224,0.5714285714285714,1.0,7,0,0.69,1.0,1.0,1.0,1.0,1.0
5,17,0.4037235115180936,0.5263157894736842,0.9202279202279202,57,0,0.3776072487235069,0.5714285714285714,1.0,7,0,0.7,1.0,1.0,1.0,1.0,1.0
5,18,0.4049323486131534,0.5263157894736842,0.9173789173789174,57,0,0.38039521340812954,0.5714285714285714,1.0,7,0,0.71,1.0,1.0,1.0,1.0,1.0
5,19,0.4091504071103899,0.5263157894736842,0.9145299145299145,57,0,0.37671844554798944,0.5714285714285714,1.0,7,0,0.72,1.0,1.0,1.0,1.0,1.0
5,20,0.4003173969032472,0.5614035087719298,0.9188034188034188,57,0,0.37570144555398394,0.5714285714285714,1.0,7,0,0.72,1.0,1.0,1.0,1.0,1.0
5,21,0.4079855788956609,0.5964912280701754,0.9173789173789174,57,0,0.37668610577072414,0.5714285714285714,1.0,7,0,0.73,1.0,1.0,1.0,1.0,1.0
5,22,0.3991908310798177,0.6140350877192983,0.9586894586894587,57,0,0.3766292344246592,0.7142857142857143,1.0,7,0,0.74,1.0,1.0,1.0,1.0,1.0
5,23,0.39641785843853367,0.6491228070175439,0.9672364672364673,57,0,0.375616444008691,0.7142857142857143,1.0,7,0,0.74,1.0,1.0,1.0,1.0,1.0
5,24,0.39452237792705236,0.7017543859649122,0.9857549857549858,57,0,0.3767757277403559,0.8571428571428571,1.0,7,0,0.75,1.0,1.0,1.0,1.0,1.0
5,25,0.3930872098395699,0.7719298245614035,0.99002849002849,57,0,0.3773481899074146,1.0,1.0,7,0,0.76,1.0,1.0,1.0,1.0,1.0
5,26,0.3920463077854692,0.8421052631578947,0.99002849002849,57,0,0.37657708674669266,1.0,1.0,7,0,0.76,1.0,1.0,1.0,1.0,1.0
5,27,0.39277769951966773,0.8947368421052632,0.99002849002849,57,0,0.3782850759369986,1.0,1.0,7,0,0.76,1.0,1.0,1.0,1.0,1.0
5,28,0.3922383897660071,0.9122807017543859,0.99002849002849,57,0,0.37997371703386307,1.0,1.0,7,0,0.76,1.0,1.0,1.0,1.0,1.0
5,29,0.38780815755588965,0.9122807017543859,0.9914529914529915,57,0,0.37889197043010164,1.0,1.0,7,0,0.76,1.0,1.0,1.0,1.0,1.0
5,30,0.3901528612171349,0.9473684210526315,0.9928774928774928,57,0,0.37807417128767284,1.0,1.0,7,0,0.76,1.0,1.0,1.0,1.0,1.0
